Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"233","Unassigned","Forbes & Company Ltd","https://forbes.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Forbes___Company_Ltd/screenshots/Forbes___Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Forbes & Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"234","Unassigned","United Interactive Ltd","https://uigtc.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/United_Interactive_Ltd/screenshots/United_Interactive_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (United Interactive Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"235","Unassigned","Jamshri Realty Ltd","https://jamshri.in","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jamshri_Realty_Ltd/screenshots/Jamshri_Realty_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jamshri Realty Ltd)","Company Secretary & Compliance Officer","info@jamshri.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","info@jamshri.in"
"236","Unassigned","Kesoram Industries Ltd","https://kesocorp.com","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Kesoram_Industries_Ltd/screenshots/Kesoram_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kesoram Industries Ltd)","Company Secretary & Compliance Officer","info@kesocorp.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kesocorp.com"
"237","Unassigned","Peninsula Land Ltd","https://peninsula.co.in","Yes","Yes","Yes","1 out of 10","32","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Peninsula_Land_Ltd/screenshots/Peninsula_Land_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Peninsula Land Ltd)","Company Secretary & Compliance Officer","info@peninsula.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investor@peninsula.co.in"
"238","Unassigned","The Phoenix Mills Ltd","https://thephoenixmills.com","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/The_Phoenix_Mills_Ltd/screenshots/The_Phoenix_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (The Phoenix Mills Ltd)","Company Secretary & Compliance Officer","hello@gmail.com","General Contact Email","Managing Director / CEO","hello@gmail.com"
"239","Unassigned","Ruby Mills Ltd","https://rubymills.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ruby_Mills_Ltd/screenshots/Ruby_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ruby Mills Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"240","Unassigned","Swan Corp Ltd","https://swansonvitamins.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Swan_Corp_Ltd/screenshots/Swan_Corp_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Swan Corp Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"241","Unassigned","Victoria Mills Ltd","https://hiddenbattles.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Victoria_Mills_Ltd/screenshots/Victoria_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Victoria Mills Ltd)","Company Secretary & Compliance Officer","info@hiddenbattles.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hiddenbattles.com"
"242","Unassigned","SV Trading & Agencies Ltd","https://svtrading.co.uk","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/SV_Trading___Agencies_Ltd/screenshots/SV_Trading___Agencies_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (SV Trading & Agencies Ltd)","Company Secretary & Compliance Officer","info@svtrading.co.uk","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@svtrading.co.uk"
"243","Unassigned","Veer Energy & Infrastructure Ltd","https://veerenergy.net","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Veer_Energy___Infrastructure_Ltd/screenshots/Veer_Energy___Infrastructure_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Veer Energy & Infrastructure Ltd)","Company Secretary & Compliance Officer","info@veerenergy.net","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@veerenergy.net"
"244","Unassigned","SW Investments Ltd","https://swinvestments.net","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/SW_Investments_Ltd/screenshots/SW_Investments_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (SW Investments Ltd)","Company Secretary & Compliance Officer","info@swinvestments.net","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@swinvestments.net"
"245","Unassigned","Unijolly Investments Company Ltd","https://unijollyinvestments.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Unijolly_Investments_Company_Ltd/screenshots/Unijolly_Investments_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Unijolly Investments Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"246","Unassigned","EL CID Investments Ltd","https://elcidinvestments.com","Yes","Yes","Yes","5.8 out of 10","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/EL_CID_Investments_Ltd/screenshots/EL_CID_Investments_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (EL CID Investments Ltd)","Company Secretary & Compliance Officer","vakilgroup@gmail.com","General Contact Email","Managing Director / CEO","vakilgroup@gmail.com"
"247","Unassigned","Mediaone Global Entertainment Ltd","https://mediaoneglobal.net","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Mediaone_Global_Entertainment_Ltd/screenshots/Mediaone_Global_Entertainment_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mediaone Global Entertainment Ltd)","Company Secretary & Compliance Officer","info@mediaoneglobal.net","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@mediaoneglobal.net"
"248","Unassigned","Banswara Syntex Ltd","https://banswarasyntex.com","Yes","Yes","Yes","1 out of 10","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Banswara_Syntex_Ltd/screenshots/Banswara_Syntex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Banswara Syntex Ltd)","Company Secretary & Compliance Officer","info@banswarasyntex.com","General Contact Email","Managing Director / CEO","info@banswarasyntex.com"
"249","Unassigned","SRF Ltd","https://srf.ch","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/SRF_Ltd/screenshots/SRF_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (SRF Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"250","Unassigned","Swadeshi Polytex Ltd","https://splindia.co.in","Yes","Yes","Yes","1 out of 10","37","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Swadeshi_Polytex_Ltd/screenshots/Swadeshi_Polytex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Swadeshi Polytex Ltd)","Company Secretary & Compliance Officer","investor.grievances@splindia.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investor.grievances@splindia.co.in"
"251","Unassigned","Bharat Bijlee Ltd","https://bharatbijlee.com","Yes","Yes","Yes","1 out of 10","14","44","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Bharat_Bijlee_Ltd/screenshots/Bharat_Bijlee_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bharat Bijlee Ltd)","Company Secretary & Compliance Officer","info@bharatbijlee.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@bharatbijlee.com"
"252","Unassigned","GEE Ltd","https://geeltd.co.uk","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GEE_Ltd/screenshots/GEE_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GEE Ltd)","Company Secretary & Compliance Officer","giggmill@hotmail.com","General Contact Email","Managing Director / CEO","giggmill@hotmail.com"
"253","Unassigned","Hind Rectifiers Ltd","https://hirect.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hind_Rectifiers_Ltd/screenshots/Hind_Rectifiers_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hind Rectifiers Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"254","Unassigned","Zensar Technologies Ltd","https://zensar.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Zensar_Technologies_Ltd/screenshots/Zensar_Technologies_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Zensar Technologies Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"255","Unassigned","Jyoti Ltd","https://filmynonstop.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jyoti_Ltd/screenshots/Jyoti_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jyoti Ltd)","Company Secretary & Compliance Officer","info@filmynonstop.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@filmynonstop.com"
"256","Unassigned","JSL Industries Ltd","https://jslps.org","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/JSL_Industries_Ltd/screenshots/JSL_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (JSL Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"257","Unassigned","Kaycee Industries Ltd","https://kayceenterprises.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Kaycee_Industries_Ltd/screenshots/Kaycee_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kaycee Industries Ltd)","Company Secretary & Compliance Officer","info@kayceenterprises.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kayceenterprises.com"
"258","Unassigned","Indokem Ltd","https://indokemika-group.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Indokem_Ltd/screenshots/Indokem_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Indokem Ltd)","Company Secretary & Compliance Officer","info@indokemika-group.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@indokemika-group.com"
"259","Unassigned","Nelco Ltd","https://nelcoproducts.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Nelco_Ltd/screenshots/Nelco_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Nelco Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"260","Unassigned","Permanent Magnets Ltd","https://pmlindia.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Permanent_Magnets_Ltd/screenshots/Permanent_Magnets_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Permanent Magnets Ltd)","Company Secretary & Compliance Officer","info@pmlindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pmlindia.com"
"261","Unassigned","High Energy Batteries India Ltd","https://highenergy.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/High_Energy_Batteries_India_Ltd/screenshots/High_Energy_Batteries_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (High Energy Batteries India Ltd)","Company Secretary & Compliance Officer","info@highenergy.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@highenergy.com"
"262","Unassigned","Universal Cables Ltd","https://unistar.co.in","Yes","Yes","Yes","1 out of 10","52","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Universal_Cables_Ltd/screenshots/Universal_Cables_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Universal Cables Ltd)","Company Secretary & Compliance Officer","delhi@unistar.co.in","General Contact Email","Managing Director / CEO","delhi@unistar.co.in"
